원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
'암살게임'의 감독은(는) 누구인가요?	암살게임'의 감독은(는) 어니 바바라쉬(이)에요.	암살게임 감독이 누군지 알면 알려주시지요	암살게임의 감독은 어니 바바라쉬라지요	어니 바바라쉬	감독	암살게임	'암살게임'의 감독은(는) 누구인가요?	암살게임 감독이 누군지 알면 알려주시지요	407	"X,X,O"
러프 (만화)'의 감독은(는) 누구인가요?	러프 (만화)'의 감독은(는) 오오타니 켄타로(이)에요.	러프(만화)의 감독 이름은 무엇인가요?	러프(만화)의 감독이름은 오오타니 켄타로에요.	오오타니 켄타로	감독	러프 (만화)	러프 (만화)'의 감독은(는) 누구인가요?	러프(만화)의 감독 이름은 무엇인가요?	425	"O,O,O"
'학창보고서'의 감독은(는) 누구인가요?	'학창보고서'의 감독은(는) 이미례(이)에요.	학창보고서는 누가 촬영했나요?	학창보고서를 촬영한 사람은 이미례에요.	이미례	감독	학창보고서	'학창보고서'의 감독은(는) 이미례(이)에요.	학창보고서를 촬영한 사람은 이미례에요.	490	"O,A,A"
오디션 (1997년 영화)'의 감독은(는) 누구인가요?	오디션 (1997년 영화)'의 감독은(는) 이경민(이)에요.	오디션에서 감독을 누구 맡았나요?	오디션에서 감독을 맡은 인물은 이경민이에요	이경민	감독	오디션 (1997년 영화)	오디션 (1997년 영화)'의 감독은(는) 누구인가요?	오디션에서 감독을 누구 맡았나요?	471	"X,O,O"
'NANA'의 감독은(는) 누구인가요?	NANA'의 감독은(는) 아사카 모리오(이)에요.	'NANA'의 감독을 맡은 사람이 누구일까요?	아사카 모리오가 NANA의 감독이에요.	아사카 모리오	감독	NANA	NANA'의 감독은(는) 아사카 모리오(이)에요.	아사카 모리오가 NANA의 감독이에요.	388	"O,O,O"
할아버지는 멋쟁이'의 감독은(는) 누구인가요?	할아버지는 멋쟁이'의 감독은(는) 김강윤(이)에요.	할아버지는 멋쟁이의 감독을 알려주세요.	할아버지는 멋쟁이는 김강윤이라는 사람이 감독이에요.	김강윤	감독	할아버지는 멋쟁이	할아버지는 멋쟁이'의 감독은(는) 김강윤(이)에요.	할아버지는 멋쟁이는 김강윤이라는 사람이 감독이에요.	44	"O,O,O"
'가수왕'의 감독은(는) 누구인가요?	가수왕'의 감독은(는) 김기덕 (1934년)(이)에요.	가수왕을 제작한 사람은 누구인가요?	김기덕(1934년)이 가수왕을 제작했어요	김기덕 (1934년)	감독	가수왕	'가수왕'의 감독은(는) 누구인가요?	가수왕을 제작한 사람은 누구인가요?	57	"O,O,A"
더 게임 (2008년 영화)'의 감독은(는) 누구인가요?	더 게임 (2008년 영화)'의 감독은(는) 윤인호(이)에요.	더 게임은 누가 감독 하였나요?	더 게임은 윤인호가 감독이예요	윤인호	감독	더 게임 (2008년 영화)	더 게임 (2008년 영화)'의 감독은(는) 윤인호(이)에요.	더 게임은 윤인호가 감독이예요	454	"O,O,O"
'댄스댄스'의 감독은(는) 누구인가요?	'댄스댄스'의 감독은(는) 문성욱(이)에요.	누가 댄스댄스를 만들었나요?	문성욱은 댄스댄스의 감독이에요.	문성욱	감독	댄스댄스	'댄스댄스'의 감독은(는) 문성욱(이)에요.	문성욱은 댄스댄스의 감독이에요.	218	"O,O,O"
수목장 (영화)'의 감독은(는) 누구인가요?	수목장 (영화)'의 감독은(는) 박광춘(이)에요.	수목장 (영화)를 지휘하며 촬영한 사람은 누구인가요?	수목장 (영화)를 지휘하며 촬영한 사람은 박광춘이에요.	박광춘	감독	수목장 (영화)	수목장 (영화)'의 감독은(는) 누구인가요?	수목장 (영화)를 지휘하며 촬영한 사람은 누구인가요?	241	"O,O,A"
가족시네마 (2012년 영화)'의 감독은(는) 누구인가요?	"가족시네마 (2012년 영화)'의 감독은(는) 신수원, 홍지영, 이수연, 김성호(이)에요."	가족시네마 (2012년 영화)'는 어느 감독의 영화인가요?	"가족시네마 (2012년 영화)'는 신수원, 홍지영, 이수연, 김성호가 감독을 맡은 영화라고 해요"	"신수원, 홍지영, 이수연, 김성호"	감독	가족시네마 (2012년 영화)	"가족시네마 (2012년 영화)'의 감독은(는) 신수원, 홍지영, 이수연, 김성호(이)에요."	"가족시네마 (2012년 영화)'는 신수원, 홍지영, 이수연, 김성호가 감독을 맡은 영화라고 해요"	344	"O,O,O"
블랙스톤 (영화)'의 감독은(는) 누구인가요?	블랙스톤 (영화)'의 감독은(는) 노경태(이)에요.	블랙스톤 (영화) 누가 만들었나요?	블랙스톤 (영화)를 제작한 사람은 노경태에요.	노경태	감독	블랙스톤 (영화)	블랙스톤 (영화)'의 감독은(는) 노경태(이)에요.	블랙스톤 (영화)를 제작한 사람은 노경태에요.	172	"A,O,A"
7급 공무원 (영화)'의 감독은(는) 누구인가요?	7급 공무원 (영화)'의 감독은(는) 신태라(이)에요.	7급 공무원(영화)를 총지휘한 감독은 누구인가요?	7급 공무원(영화)는 신태라가 감독했어요.	신태라	감독	7급 공무원 (영화)	7급 공무원 (영화)'의 감독은(는) 누구인가요?	7급 공무원(영화)를 총지휘한 감독은 누구인가요?	363	"O,O,O"
스페이스 간담 V'의 감독은(는) 누구인가요?	스페이스 간담 V'의 감독은(는) 김청기(이)에요.	스페이스 간담v의 감독의 이름은 무엇인가요?	스페이스 간담v의 감독 이름은 김청기라고 해요.	김청기	감독	스페이스 간담 V	스페이스 간담 V'의 감독은(는) 김청기(이)에요.	스페이스 간담v의 감독 이름은 김청기라고 해요.	122	"O,O,O"
늙은 자전거'의 감독은(는) 누구인가요?	늙은 자전거'의 감독은(는) 문희융(이)에요.	늙은 자전거를 만든 사람은 누구인가요?	늙은 자전거를 만든 사람은 문희융이에요.	문희융	감독	늙은 자전거	늙은 자전거'의 감독은(는) 누구인가요?	늙은 자전거를 만든 사람은 누구인가요?	225	"A,O,O"
"로봇, 소리'의 감독은(는) 누구인가요?"	"로봇, 소리'의 감독은(는) 이호재(이)에요."	"로봇,소리를 만든 사람은 누구인가요?"	"로봇,소리를 만든 사람은 이호재에요."	이호재	감독	"로봇, 소리"	"로봇, 소리'의 감독은(는) 이호재(이)에요."	"로봇,소리를 만든 사람은 이호재에요."	574	"O,O,O"
복수는 내게 맡겨라'의 감독은(는) 누구인가요?	복수는 내게 맡겨라'의 감독은(는) 설태호(이)에요.	영화 복수는 내게 맡겨라를 만든 감독 이름은 무엇인가요?	복수는 내게 맡겨라 라는 영화는 설태호 감독이 만들었어요	설태호	감독	복수는 내게 맡겨라	복수는 내게 맡겨라'의 감독은(는) 누구인가요?	영화 복수는 내게 맡겨라를 만든 감독 이름은 무엇인가요?	323	"O,O,O"
환생 (2006년 영화)'의 감독은(는) 누구인가요?	환생 (2006년 영화)'의 감독은(는) 시미즈 다카시 (영화 감독)(이)에요.	환생(2006년 영화)'은 누가 감독했나요?	환생(2006년 영화)'은 시미즈 다카시(영화 감독)가 감독한 영화예요.	시미즈 다카시 (영화 감독)	감독	환생 (2006년 영화)	환생 (2006년 영화)'의 감독은(는) 시미즈 다카시 (영화 감독)(이)에요.	환생(2006년 영화)'은 시미즈 다카시(영화 감독)가 감독한 영화예요.	326	"O,O,O"
러프 (만화)'의 감독은(는) 누구인가요?	러프 (만화)'의 감독은(는) 오오타니 켄타로(이)에요.	러프(만화)를 만든 감독은 누구인가요?	러프(만화)를 만든 감독은 오오타니 켄타로에요	오오타니 켄타로	감독	러프 (만화)	러프 (만화)'의 감독은(는) 누구인가요?	러프(만화)를 만든 감독은 누구인가요?	427	"O,O,O"
로사 (영화)'의 감독은(는) 누구인가요?	로사 (영화)'의 감독은(는) 맹관표(이)에요.	로사(영화)를 만든 사람은 누구인가요?	로사(영화)를 제작한 사람은 맹관표라고 해요.	맹관표	감독	로사 (영화)	로사 (영화)'의 감독은(는) 맹관표(이)에요.	로사(영화)를 제작한 사람은 맹관표라고 해요.	214	"A,A,O"
연애소설 (영화)'의 감독은(는) 누구인가요?	연애소설 (영화)'의 감독은(는) 이한(이)에요.	연애소설이라는 영화의 감독은 누구인가요?	연애소설이라는 영화의 감독은 이한이에요.	이한	감독	연애소설 (영화)	연애소설 (영화)'의 감독은(는) 누구인가요?	연애소설이라는 영화의 감독은 누구인가요?	563	"O,O,O"
어바웃 타임'의 감독은(는) 누구인가요?	어바웃 타임'의 감독은(는) 리처드 커티스(이)에요.	어바웃 타임은 누가 제작했나요?	어바웃 타임은 리처드 커티스가 만들었어요.	리처드 커티스	감독	어바웃 타임	어바웃 타임'의 감독은(는) 리처드 커티스(이)에요.	어바웃 타임은 리처드 커티스가 만들었어요.	206	"O,O,O"
정글 스토리'의 감독은(는) 누구인가요?	정글 스토리'의 감독은(는) 김홍준(이)에요.	'정글 스토리'를 제작한 감독은 누구인가요?	'정글 스토리'를 제작한 감독은 김홍준이에요.	김홍준	감독	정글 스토리	정글 스토리'의 감독은(는) 김홍준(이)에요.	'정글 스토리'를 제작한 감독은 김홍준이에요.	146	"O,O,O"
아버지는 개다'의 감독은(는) 누구인가요?	아버지는 개다'의 감독은(는) 이상우 (영화 감독)(이)에요.	'아버지는 개다'를 감독한 사람은 누구인가요?	'아버지는 개다'를 감독한 사람은 이상우에요.	이상우 (영화 감독)	감독	아버지는 개다	아버지는 개다'의 감독은(는) 이상우 (영화 감독)(이)에요.	'아버지는 개다'를 감독한 사람은 이상우에요.	504	"A,O,O"
사랑과 눈물'의 감독은(는) 누구인가요?	사랑과 눈물'의 감독은(는) 남기남(이)에요.	사랑과 눈물의 제작자는 누구인가요?	사랑과 눈물의 제작자는 남기남이에요.	남기남	감독	사랑과 눈물	사랑과 눈물'의 감독은(는) 남기남(이)에요.	사랑과 눈물의 제작자는 남기남이에요.	162	"O,A,O"
'학창보고서'의 감독은(는) 누구인가요?	'학창보고서'의 감독은(는) 이미례(이)에요.	학창보고서의 제작을 지휘한 사람은 누구인가요?	이미례 감독이 학창보고서의 제작을 지휘했어요.	이미례	감독	학창보고서	'학창보고서'의 감독은(는) 누구인가요?	학창보고서의 제작을 지휘한 사람은 누구인가요?	491	"O,X,O"
미션: 톱스타를 훔쳐라'의 감독은(는) 누구인가요?	미션: 톱스타를 훔쳐라'의 감독은(는) 노병하(이)에요.	미션:톱스타를 훔쳐라는 어떤 감독이 메가폰을 잡았나요?	노병하가 미션:톱스타를 훔쳐라의 감독이에요	노병하	감독	미션: 톱스타를 훔쳐라	미션: 톱스타를 훔쳐라'의 감독은(는) 노병하(이)에요.	노병하가 미션:톱스타를 훔쳐라의 감독이에요	174	"X,O,O"
타워 (영화)'의 감독은(는) 누구인가요?	타워 (영화)'의 감독은(는) 김지훈 (1971년)(이)에요.	영화 타워의 감독을 누가 맡았나요?	영화 타워는 김지훈(1971)이 감독을 맡았어요.	김지훈 (1971년)	감독	타워 (영화)	타워 (영화)'의 감독은(는) 누구인가요?	영화 타워의 감독을 누가 맡았나요?	119	"O,O,O"
'아가씨'의 감독은(는) 누구인가요?	'아가씨'의 감독은(는) 박찬욱(이)에요.	'아가씨'는 누가 감독하였나요?	'아가씨'는 박찬욱이 감독했어요	박찬욱	감독	아가씨	'아가씨'의 감독은(는) 박찬욱(이)에요.	'아가씨'는 박찬욱이 감독했어요	284	"A,O,O"
발레교습소 (영화)'의 감독은(는) 누구인가요?	발레교습소 (영화)'의 감독은(는) 변영주(이)에요.	발레교습소를 만든 감독은 누구인가요?	발레교습소는 변영주 감독의 작품이에요.	변영주	감독	발레교습소 (영화)	발레교습소 (영화)'의 감독은(는) 누구인가요?	발레교습소를 만든 감독은 누구인가요?	315	"A,O,O"
더 폰'의 감독은(는) 누구인가요?	더 폰'의 감독은(는) 김봉주(이)에요.	더 폰을 만든 사람은 누구인가요?	더 폰을 만든 사람은 김봉주 감독이에요.	김봉주	감독	더 폰	더 폰'의 감독은(는) 김봉주(이)에요.	더 폰을 만든 사람은 김봉주 감독이에요.	74	"O,O,O"
패밀리마트 (영화)'의 감독은(는) 누구인가요?	패밀리마트 (영화)'의 감독은(는) 김건(이)에요.	패밀리마트는 어느 감독의 작품이에요?	패밀리마트는 김건 감독의 작품이에요.	김건	감독	패밀리마트 (영화)	패밀리마트 (영화)'의 감독은(는) 김건(이)에요.	패밀리마트는 김건 감독의 작품이에요.	50	"O,O,O"
'여인파티'의 감독은(는) 누구인가요?	'여인파티'의 감독은(는) 서윤모(이)에요.	여인파티를 감독한 인물은 누구인가요?	여인파티 영화의 감독직을 맡은 인물은 서윤모에요	서윤모	감독	여인파티	'여인파티'의 감독은(는) 누구인가요?	여인파티를 감독한 인물은 누구인가요?	319	"O,O,O"
바시르와 왈츠를'의 감독은(는) 누구인가요?	바시르와 왈츠를'의 감독은(는) 아리 폴만(이)에요.	영화 중에 바르시와 왈츠를의 감독이 누군가요	바시르와 왈츠를의 감독은 아리 폴만이라고 하지요	아리 폴만	감독	바시르와 왈츠를	바시르와 왈츠를'의 감독은(는) 누구인가요?	영화 중에 바르시와 왈츠를의 감독이 누군가요	381	"O,O,O"
특근 (2016년 영화)'의 감독은(는) 누구인가요?	특근 (2016년 영화)'의 감독은(는) 김건(이)에요.	특근(2016년 영화)을 총 감독한 사람은 누구인가요?	특근(2016년 영화)을 총 감독한 사람은 김건이에요.	김건	감독	특근 (2016년 영화)	특근 (2016년 영화)'의 감독은(는) 김건(이)에요.	특근(2016년 영화)을 총 감독한 사람은 김건이에요.	46	"O,O,O"
각설이 품바 타령'의 감독은(는) 누구인가요?	각설이 품바 타령'의 감독은(는) 남기남(이)에요.	각설이 품바 타령을 진두지휘한 사람은 누구인가요?	각설이 품바 타령을 진두지휘한 사람은 남기남이예요	남기남	감독	각설이 품바 타령	각설이 품바 타령'의 감독은(는) 남기남(이)에요.	각설이 품바 타령을 진두지휘한 사람은 남기남이예요	156	"O,A,O"
김두한과 서대문 1번지'의 감독은(는) 누구인가요?	김두한과 서대문 1번지'의 감독은(는) 이혁수(이)에요.	김두한과 서대문 1번지의 촬영을 지휘한 사람이 누구인가요?	이혁수 감독이 김두한과 서대문 1번지의 촬영을 지휘했어요.	이혁수	감독	김두한과 서대문 1번지	김두한과 서대문 1번지'의 감독은(는) 이혁수(이)에요.	이혁수 감독이 김두한과 서대문 1번지의 촬영을 지휘했어요.	568	"O,A,O"
파송송 계란탁'의 감독은(는) 누구인가요?	파송송 계란탁'의 감독은(는) 오상훈(이)에요.	'파송송 계란탁'은 누가 감독을 맡았나요?	오상훈이 감독을 맡은 영화는 '파송송 계란탁'이에요.	오상훈	감독	파송송 계란탁	파송송 계란탁'의 감독은(는) 누구인가요?	'파송송 계란탁'은 누가 감독을 맡았나요?	413	"O,O,O"
