원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'내_첫사랑을_너에게_바친다'의 주연은(는) 누구인가요?	'내_첫사랑을_너에게_바친다'의 주연은(는) 이노우에_마오(이)에요.	누가 내_첫사랑을_너에게 _바친다에서 주인공을 맡아 연기했나요?	이노우에_마오가 내_첫사랑을_너에게 _바친다에서 주인공을 맡아 연기했어요.	이노우에_마오	주연	내_첫사랑을_너에게_바친다	59	'내_첫사랑을_너에게_바친다'의 주연은(는) 이노우에_마오(이)에요.	이노우에_마오가 내_첫사랑을_너에게 _바친다에서 주인공을 맡아 연기했어요.	468	"A,O,X"
'공지영'의 유명한 작품은(는) 무엇인가요?	'공지영'의 유명한 작품은(는) 《고등어》(이)에요.	공지영 작가의 작품중에서 가장 유명한 작품은 무엇인가요?	공지영 작가의 고등어란 작품이 제일 유명해요.	《고등어》	유명한 작품	공지영	411	'공지영'의 유명한 작품은(는) 《고등어》(이)에요.	공지영 작가의 고등어란 작품이 제일 유명해요.	3242	"A,O,O"
게르하르트_호흐실트'의 출신대학은 어디인가요?	게르하르트_호흐실트'의 출신대학은 프린스턴_대학교(이)에요.	게르하르트 호흐실트가 나온 대학은 어디인가요?	게르하르트 호흐실트는 프린스턴 대학교에서 공부했어요.	프린스턴_대학교	출신대학	게르하르트_호흐실트	332	게르하르트_호흐실트'의 출신대학은 어디인가요?	게르하르트 호흐실트가 나온 대학은 어디인가요?	2619	"O,O,O"
'그_남자의_책_198쪽'의 주연은(는) 누구인가요?	'그_남자의_책_198쪽'의 주연은(는) 이동욱(이)에요.	그 남자의 책 198쪽은 누가 주연을 맡았나요?	그 남자의 책 198쪽은 이동욱이 주연을 맡았어요.	이동욱	주연	그_남자의_책_198쪽	52	'그_남자의_책_198쪽'의 주연은(는) 이동욱(이)에요.	그 남자의 책 198쪽은 이동욱이 주연을 맡았어요.	410	"O,O,O"
'강문봉'의 직업은(는) 무엇인가요?	'강문봉'의 직업은(는) 대학_교수(이)에요.	강문봉의 직업은 무엇이예요?	대학 교수는 강문봉의 직업이예요.	대학_교수	직업	강문봉	102	'강문봉'의 직업은(는) 대학_교수(이)에요.	대학 교수는 강문봉의 직업이예요.	810	"O,O,O"
'가진것_없소이다'의 장르은(는) 무엇인가요?	"'가진것_없소이다'의 장르은(는) 액션, 코미디(이)에요."	무엇이 가진것 없소이다의 장르예요?	"액션, 코미디는 가진것 없소이다의 장르예요."	"액션, 코미디"	장르	가진것_없소이다	49	'가진것_없소이다'의 장르은(는) 무엇인가요?	무엇이 가진것 없소이다의 장르예요?	391	"X,O,O"
'구_요도_강'의 발원지은(는) 어디인가요?	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	구 요도 강이 시작한 위치는 어디인가요?	구 요도 강의 시작점은 게마 수문이에요.	게마 수문	발원지	구_요도_강	262	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	구 요도 강의 시작점은 게마 수문이에요.	2066	"O,O,O"
가이_칼튼'의 출생지은(는) 어디인가요?	'가이_칼튼'의 출생지은(는) 아일랜드(이)에요.	가이 칼튼이 태어난 곳은 어딘가요?	가이 칼튼이 태어난 곳은 아일랜드에요.	아일랜드	출생지	가이_칼튼	131	'가이_칼튼'의 출생지은(는) 아일랜드(이)에요.	가이 칼튼이 태어난 곳은 아일랜드에요.	1032	"O,O,O"
'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	고다이라 구니히코는 어떤 상을 받았나요?	고다이라 구니히코는 필즈상을 수상했어요.	필즈상	수상내역	고다이라_구니히코	294	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	고다이라 구니히코는 필즈상을 수상했어요.	2320	"O,O,O"
'2012년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2012년_하계_올림픽'의 참가선수은(는) 10768명(이)에요.	2012년 하계 올림픽에 참여한 선수는 몇명인가요?	2012년 하계 올림픽에 참여한 선수는 10768명이에요.	10768명	참가선수	2012년_하계_올림픽	183	'2012년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	2012년 하계 올림픽에 참여한 선수는 몇명인가요?	1443	"O,O,O"
'강순'의 최종계급은(는) 무엇인가요?	'강순'의 최종계급은(는) 관직:오위도총부 도총관(이)에요.	강순이 도달한 최종계급은 어디인가요?	강순은 최종계급으로 오위도총부 도총관을 지냈어요.	관직:오위도총부 도총관	최종계급	강순	127	'강순'의 최종계급은(는) 관직:오위도총부 도총관(이)에요.	강순은 최종계급으로 오위도총부 도총관을 지냈어요.	1004	"O,O,O"
'라플라타_강'의 하구은(는) 어디인가요?	'라플라타_강'의 하구은(는) 대서양(이)에요.	라플라타 강이 바다로 이어지는 곳은 어디인가요?	라플라타 강이 바다로 이어지는 곳은 대서양이에요.	대서양	하구	라플라타_강	279	'라플라타_강'의 하구은(는) 대서양(이)에요.	라플라타 강이 바다로 이어지는 곳은 대서양이에요.	2200	"O,O,O"
'모기윤'의 종교은(는) 무엇인가요?	'모기윤'의 종교은(는) 개신교(이)에요.	모기윤의 종교가 어떻게 되나요?	개신교의 종교를 가지고 있는 모기윤이에요.	개신교	종교	모기윤	434	'모기윤'의 종교은(는) 무엇인가요?	모기윤의 종교가 어떻게 되나요?	3429	"O,O,O"
'강원대학교'의 마스코트은(는) 무엇인가요?	'강원대학교'의 마스코트은(는) 잣나무(이)에요.	강원대학교의 마스코트는 무엇이라 할 수 있나요?	강원대학교의 마스코트는 잣나무라 할 수 있어요.	잣나무	마스코트	강원대학교	367	'강원대학교'의 마스코트은(는) 잣나무(이)에요.	강원대학교의 마스코트는 잣나무라 할 수 있어요.	2904	"O,O,O"
강원대학교'의 설립 시기는 언제인가요?	강원대학교'의 설립 시기는 1947년이에요.	강원대학교는 언제 설립되었나요?	강원대는 1947년에 설립되었어요	1947	설립 시기	강원대학교	373	강원대학교'의 설립 시기는 언제인가요?	강원대학교는 언제 설립되었나요?	2945	"O,O,O"
'그리고리_마르굴리스'은(는) 수상내역(으)로 무엇이 있나요?	그리고리_마르굴리스'은(는) 수상내역(으)로 울프상이 있어요.	'그리고리_마르굴리스'의 실적은 무엇인가요?	'그리고리_마르굴리스'의 실적으로는 울프상이 있어요	울프상	수상내역	그리고리_마르굴리스	297	'그리고리_마르굴리스'은(는) 수상내역(으)로 무엇이 있나요?	'그리고리_마르굴리스'의 실적은 무엇인가요?	2343	"O,X,X"
디트로이트'은(는) 어느 나라에 있나요?	디트로이트'은(는) 미국에 있어요.	어느 나라에 디트로이트가 있나요?	미국에 디트로이트가 있어요.	미국	국가	디트로이트	200	디트로이트'은(는) 어느 나라에 있나요?	어느 나라에 디트로이트가 있나요?	1575	"O,O,O"
귀스타브_코리올리'의 출신대학은 어디인가요?	귀스타브_코리올리'의 출신대학은 에콜_폴리테크니크(이)에요.	귀스타브 코리올리는 어느 대학교 출신인가요?	귀스타브 코리올리는 에콜 폴리테크티크 대학 출신이에요.	에콜_폴리테크니크	출신대학	귀스타브_코리올리	335	귀스타브_코리올리'의 출신대학은 에콜_폴리테크니크(이)에요.	귀스타브 코리올리는 에콜 폴리테크티크 대학 출신이에요.	2646	"O,O,O"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 세계의 수도(이)에요.	'뉴욕'의 닉네임은 무엇인가요?	'뉴욕'은 사람들이 세계의 수도라고도 불러요.	세계의 수도	별명	뉴욕	219	'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 닉네임은 무엇인가요?	1723	"O,O,O"
'게이오기주쿠_대학'의 표어은(는) 무엇인가요?	'게이오기주쿠_대학'의 표어은(는) 펜은 칼보다 강하다(이)에요.	게이오기주쿠 대학을 대표하는 말은 무엇인가요?	펜은 칼보다 강하다는 말은 게이오기주쿠 대학을 대표하는 말이에요.	펜은 칼보다 강하다	표어	게이오기주쿠_대학	396	'게이오기주쿠_대학'의 표어은(는) 무엇인가요?	게이오기주쿠 대학을 대표하는 말은 무엇인가요?	3121	"A,X,O"
'레이먼드_데이비스'의 직업은(는) 무엇인가요?	'레이먼드_데이비스'의 직업은(는) 물리학자(이)에요.	레이먼드 데이비스는무슨 직업을 갖고 있나요?	물리학자의 직업을 레이먼드 데이비스가 갖고 있어요.	물리학자	직업	레이먼드_데이비스	317	'레이먼드_데이비스'의 직업은(는) 물리학자(이)에요.	물리학자의 직업을 레이먼드 데이비스가 갖고 있어요.	2504	"O,O,O"
구_요도_강'은(는) 어디에 있나요?	구_요도_강'은(는) 일본에 있어요.	구 요도 강이 위치한 곳이 어디예요?	구 요도 강이 있는 곳은 일본이에요.	일본	국가	구_요도_강	233	구_요도_강'은(는) 어디에 있나요?	구 요도 강이 위치한 곳이 어디예요?	1839	"O,O,O"
'강원대학교'의 마스코트은(는) 무엇인가요?	'강원대학교'의 마스코트은(는) 잣나무(백령)(이)에요.	강원대학교를 나타내는 것이 무엇인가요?	잣나무(백령는  강원대학교를 나타내는 나무예요	잣나무(백령)	마스코트	강원대학교	368	'강원대학교'의 마스코트은(는) 무엇인가요?	강원대학교를 나타내는 것이 무엇인가요?	2907	"A,A,A"
'뉴어크_(뉴저지_주)'의 인구은(는) 얼마나 되나요?	'뉴어크_(뉴저지_주)'의 인구은(는) 277140명(이)에요.	'뉴어크_(뉴저지_주)'에는 사람들이 몇명이나 사나요?	'뉴어크_(뉴저지_주)'에는  277140명이 살고 있어요.	277140명	인구	뉴어크_(뉴저지_주)	225	'뉴어크_(뉴저지_주)'의 인구은(는) 277140명(이)에요.	'뉴어크_(뉴저지_주)'에는  277140명이 살고 있어요.	1770	"O,O,O"
강병일'은(는) 어디에서 복무했나요?	강병일'의 일본군에서 복무했어요.	강병일의 복무지가 어느 군대인가요?	강병일이 복무했던 곳은 일본군이에요	일본군	복무	강병일	78	강병일'의 일본군에서 복무했어요.	강병일이 복무했던 곳은 일본군이에요	624	"O,X"
'2016년_하계_올림픽'의 모토은(는) 무엇인가요?	'2016년_하계_올림픽'의 모토은(는) 새로운 세계(이)에요.	'2016년 하계 올림픽'의 표어는 무엇인가요?	'2016년 하계 올림픽'이 모토로 삼는 것은 새로운 세계예요	새로운 세계	모토	2016년_하계_올림픽	167	'2016년_하계_올림픽'의 모토은(는) 무엇인가요?	'2016년 하계 올림픽'의 표어는 무엇인가요?	1309	"O,O,O"
남창희_(물리학자)'은(는) 어디 소속인가요?	남창희_(물리학자)' 광주과학기술원 소속이에요.	남창희_물리학자는 어떤 소속인가요?	남창희_물리학자의 소속은 광주과학기술원이에요.	광주과학기술원	소속	남창희_(물리학자)	286	남창희_(물리학자)' 광주과학기술원 소속이에요.	남창희_물리학자의 소속은 광주과학기술원이에요.	2260	"O,O,O"
'건양대학교'의 총장은(는) 누구인가요?	'건양대학교'의 총장은(는) 김희수(이)에요.	건양대학교 총장의 이름은 무엇인가요?	건양대학교 총장의 이름은 김희수에요.	김희수	총장	건양대학교	384	'건양대학교'의 총장은(는) 누구인가요?	건양대학교 총장의 이름은 무엇인가요?	3035	"O,O,O"
'2012년_하계_올림픽'의 모토은(는) 무엇인가요?	'2012년_하계_올림픽'의 모토은(는) 세대에게 영감을(이)에요.	'2012년_하계_올림픽'의 신조는 무엇인가요?	'2012년_하계_올림픽'이 내세웠던 대표적 신조는 세대에게 영감을(이)에요.	세대에게 영감을	모토	2012년_하계_올림픽	169	'2012년_하계_올림픽'의 모토은(는) 무엇인가요?	'2012년_하계_올림픽'의 신조는 무엇인가요?	1325	"O,X,O"
무라카미_하루키'의 작품 장르는 무엇인가요?	무라카미_하루키'의 작품 장르는 SF_(장르)(이)에요.	무라카미 하루키의 작품 장르는 무엇이예요?	무라카미 하루키의 작품 장르는 SF 장르예요.	SF_(장르)	장르	무라카미_하루키	421	무라카미_하루키'의 작품 장르는 무엇인가요?	무라카미 하루키의 작품 장르는 무엇이예요?	3325	"O,O,O"
'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 누구인가요?	'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 세키_토모카즈(이)에요.	'극장판 도라에몽 신진구의 우주개척사'에서는 누가 주연인가요?	세키 토모카즈는 '극장판 도라에몽 신진구의 우주개척사'에서 주인공을 맡았어요.	세키_토모카즈	주연	극장판_도라에몽:_신_진구의_우주개척사	54	'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 누구인가요?	'극장판 도라에몽 신진구의 우주개척사'에서는 누가 주연인가요?	425	"O,O,O"
'뉴어크_(뉴저지_주)'의 별명은(는) 무엇인가요?	"'뉴어크_(뉴저지_주)'의 별명은(는) ""The Brick City""(이)에요."	"뉴어크(뉴저지 주)의 이명이 있다면, 그 것은 무엇인가요?"	"뉴어크(뉴저지 주)의 다른 명칭은 ""The Brick City""예요"	The Brick City	별명	뉴어크_(뉴저지_주)	215	"'뉴어크_(뉴저지_주)'의 별명은(는) ""The Brick City""(이)에요."	"뉴어크(뉴저지 주)의 다른 명칭은 ""The Brick City""예요"	1694	"O,O,O"
덴버'은(는) 어느 나라에 있나요?	덴버'은(는) 미국에 있어요.	덴버가 속해 있는 나라는 어디 인가요?	덴버가 속해 있는 나라는 미국 이에요.	미국	국가	덴버	197	덴버'은(는) 미국에 있어요.	덴버가 속해 있는 나라는 미국 이에요.	1550	"O,O,O"
갠지스_강'은(는) 어디에 있나요?	갠지스_강'은(는) 인도에 있어요.	어디에 갠지스 강이 있나요?	인도에 있는 것은 갠지스 강이예요.	인도	국가	갠지스_강	232	갠지스_강'은(는) 인도에 있어요.	인도에 있는 것은 갠지스 강이예요.	1832	"O,A,O"
'장영철_(작가)'의 종교은(는) 무엇인가요?	'장영철_(작가)'의 종교은(는) 개신교(이)에요.	장영철은 어떤 종교를 갖고 있나요?	장영철은 개신교에요.	개신교	종교	장영철_(작가)	438	'장영철_(작가)'의 종교은(는) 무엇인가요?	장영철은 어떤 종교를 갖고 있나요?	3457	"O,O,O"
